,title,ratings
0,13th,9.0
1,42,7.0
2,Abraham Lincoln: Vampire Hunter,6.0
3,Alice in Wonderland,5.33
4,Arthur Christmas,5.67
5,Before Sunset,7.0
6,Bridget Jones's Baby,6.67
7,Cape Fear,7.0
8,Cars,8.33
9,Cobain: Montage of Heck,8.33
10,Contraband,5.0
11,Dead Poets Society,9.0
12,Defiance,8.0
13,Delivery Man,3.0
14,Drive,7.0
15,Eat Pray Love,2.0
16,Flipped,5.33
17,Forgetting Sarah Marshall,7.67
18,Hercules,7.0
19,If I Stay,6.0
20,Iron Man 3,10.0
21,Just Go with It,7.0
22,Kari-gurashi no Arietti,8.33
23,Kung Fu Panda,6.0
24,Les Misérables,9.0
25,"Me, Myself & Irene",6.33
26,Moulin Rouge!,8.0
27,Mr. Turner,6.67
28,Night at the Museum: Secret of the Tomb,5.67
29,Reservoir Dogs,7.0
30,Rush,8.0
31,Solace,10.0
32,Spy,8.0
33,Ted 2,8.0
34,Terminator 3: Rise of the Machines,6.67
35,The Big Short,7.0
36,The Bourne Identity,8.0
37,The Day After Tomorrow,8.0
38,The Fast and the Furious,5.33
39,The Fate of the Furious,7.0
40,The Others,9.33
41,The Rewrite,5.67
42,The Thin Red Line,3.67
43,The Ugly Truth,7.67
44,The Wolf of Wall Street,8.0
45,Thor,3.0
46,Total Recall,8.0
47,Tropic Thunder,8.0
48,Who Am I - Kein System ist sicher,6.0
